Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Aynen,Hermano,Heijan,4/28/2023,QZMZ92307983,"3,663",22.4,"66,701,855","12,381","2,302,824",57.0,"132,663,199","408,097","59,853","1,885,010","52,142,540","289,637,676",7.0,"2,069",,,,,,,,"241,463",,0
Pistoleta,Pistoleta,Olexesh,4/11/2024,DEVY22400014,"4,397",20.0,"24,652,626","3,598","10,031,289",59.0,"6,100,333","56,016",,,,,7.0,"1,040",,9.0,"9,120,968",22.0,,,,"106,947",,1
Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,4/22/2022,USUG12202336,"2,563",27.9,"383,945,607","58,627","45,560,940",72.0,"51,670,623","427,016","20,633","9,518,866","159,467,861","2,170,376,776",83.0,"109,284",409,31.0,"987,836",41.0,"5,618,643",886,,"1,125,402",,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176.2,"46,567",252,"21,930",6.0,"2,038,459,981","6,076,902",,,,,2.0,29,,,,,"1,456",,,903,,0
Diamonds,Diamonds,Sam Smith,9/17/2020,GBUM72002531,"1,835",33.9,"411,109,963","53,928","10,287,976",58.0,"205,575,225","1,908,534","142,900","23,431,333","254,269,639","48,735,190",133.0,"403,730",53,158.0,"831,207",35.0,"77,375,004","11,904",,"5,268,930",,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,"750,154,960","139,141","103,879,363",79.0,"118,208,096","1,495,758","1,031,447","196,985,853","2,231,749,390","1,745,168,821",163.0,"378,114",856,113.0,"16,295,286",112.0,"20,228,317","5,331","10,938,075","7,477,917",,0
Enough,Enough,charlieonnafriday,8/5/2022,USUG12205553,"3,062",25.0,"127,772,228","46,233","6,238,494",64.0,"45,629,160","599,488","65,621","6,902,949","79,443,024","4,764,125",14.0,"29,914",329,4.0,"5,584",5.0,"50,463,891","13,246",,"1,276,761",,0
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,4/19/2024,USUG12402546,"4,018",21.3,"65,809,859","1,728","11,038,428",,"6,877,351","113,555",,,,,5.0,147,,1.0,"110,574",19.0,"1,318,153","2,436",,"20,504",,1
Big Gangsta,Big Gangsta,Kevin Gates,5/17/2019,USAT21902781,"4,454",19.8,"199,248,929","60,481","4,931,520",56.0,"261,079,023","2,146,409","609,586","85,181,373","713,540,521","791,982",8.0,2,,6.0,"6,125",1.0,"106,702,648","61,855",,"1,423,575",,1
Freezing,Freezing - EP,purpl,2/2/2023,FR10S2303559,"4,550",19.5,,8,565,1.0,"235,195,644","194,030",,,,,,9,,,,,,,,,,0
Sial,fï¿½ï¿½,Mahalini,1/23/2023,FR10S2380774,"3,525",23.0,"324,327,622","13,022","4,228,094",75.0,"97,061,421","500,989","449,308","131,329,737","1,614,389,086","45,212,529",8.0,"5,387",,,,,,,,"97,349",,0
Hola Seï¿½ï¿½o,Ceinture noire (Transcendance),GIMS,4/25/2019,FR8FB1901430,"3,695",22.3,"208,249,257","42,423","5,969,962",58.0,"639,243,342","3,905,330","146,449","5,679,661","111,981,041","254,002,569",78.0,"15,911",,19.0,"684,768",8.0,,,"126,720","3,459,196",,0
Off The Grid,Donda,Kanye West,8/29/2021,USUM72116304,"3,118",24.7,"266,927,787","105,664","14,849,590",62.0,"39,769,157","574,676","13,989","11,319,222","93,786,735","33,398,158",27.0,"8,377",74,11.0,"45,143",10.0,"1,751,851","2,673",,"627,751",,0
Gogo Dance,SABIDURIA,El Alfa,4/7/2022,QM4TX2261587,"1,385",39.8,"122,568,157","29,662","6,577,251",64.0,"208,114,605","1,550,438","2,465,021","817,858,920","9,097,455,103","505,317",7.0,"4,532",551,3.0,"11,224",18.0,"10,444,115","5,832",,"1,211,590",,1
Igualito a Mi Apï¿,Pa Que Hablen,Fuerza Regida,12/30/2022,QZ9QQ2200167,"1,585",36.8,"316,447,060","27,766","12,168,890",72.0,"254,781,747","1,096,192",,,,"1,170,727",27.0,54,,5.0,"199,071",7.0,"24,965,083","4,579",,"425,924",,1
MotorSport,MotorSport,Migos,10/27/2017,USUM71712002,"2,262",30.1,"590,983,645","89,159","24,300,466",62.0,"744,579,257","4,504,144","266,811","63,415,889","417,482,479","187,758,140",109.0,"19,462",27,23.0,"169,108",23.0,"243,221,290","135,099",,"3,894,893",,1
Corazï¿½ï¿½n Roto - R,Corazï¿½ï¿½n Roto (Re,Brray,4/7/2023,USUM72305202,931,49.9,"203,212,015","36,459","13,719,365",67.0,"178,302,256","677,453","827,700","24,190,123","359,964,365","362,205,003",27.0,"12,434",,12.0,"1,842,000",3.0,"127,732",684,,"836,117",,1
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/2022,TCAGM2208561,241,100.1,"665,716,137","97,057","33,252,792",80.0,"358,206,246","2,896,698","2,900,087","216,927,444","2,653,383,273","862,779,648",33.0,"77,764",119,51.0,"27,583,086",60.0,"202,795","1,067","1,432,443","5,502,998",,0
LEATHER,LEATHER,MAKAELA,1/27/2023,QZJG52355895,"1,000",47.9,"1,696",,,,"604,258,394","1,611,760",,,,,,6,,,,,,,,,,1
